TALLY_ENTRY_ID,RECON_INST,TRANS_PRODUCT_CODE,TRANS_EVENT_CODE,DIRECTION,IS_AUTO_OPEN,EXT_PROPERTY,ACCOUNT_TYPE,OPERATOR,MEMO,GMT_CREATE,GMT_MODIFIED
"01012519","3008","060030090000","03002","D","F",,"INNERTRANS","system","支付管理-投资理财-理财保费收取-支出","2016-05-13 22:28:56","2016-05-13 22:28:56"
"01013035","3008","060100100001","07003","C","F",,"INNERTRANS","system","企业红包-发放","2016-05-03 23:19:35","2016-05-03 23:19:35"
"01013036","3008","060100100002","07002","D","F",,"INNERTRANS","system","企业红包-提现","2016-05-03 23:19:35","2016-05-03 23:19:35"
"01013037","3008","060100100003","07004","D","F",,"INNERTRANS","system","企业红包-退回","2016-05-03 23:19:35","2016-05-03 23:19:35"
"01014001","3008","060080020000","07001","C","F",,"INNERTRANS","system"," 支付管理-其他-打赏-C","2016-04-25 00:43:32","2016-04-25 00:43:32"
"01014002","3008","060100020001","07002","C","F",,"INNERTRANS","system"," 支付管理-国内支付-支付宝红包-C","2016-04-25 00:43:32","2016-04-25 00:43:32"
"01014003","3008","060080030000","07001","C","F",,"INNERTRANS","system"," 支付管理-其他-保证金赔付-C","2016-04-25 00:43:32","2016-04-25 00:43:32"
"01014005","3008","060080040000","07001","C","F",,"INNERTRANS","system"," 支付管理-其他-交易赔付-C","2016-04-25 00:43:32","2016-04-25 00:43:32"
"01014009","3008","060100030001","07004","C","F",,"INNERTRANS","system"," 支付管理-国内支付-交易退款-C","2016-04-25 00:43:32","2016-04-25 00:43:32"
"01014010","3008","060090030000","07003","D","F",,"INNERTRANS","system","支付管理-挂账户资金处理-账户升级-D","2016-04-25 00:43:32","2016-04-25 00:43:32"
"01017000","3008","060060010002","01003","C","F",,"INNERTRANS","system","支付管理-来账业务-正常来账-消费信贷-充值-C","2016-05-31 20:44:52","2016-05-31 20:44:52"
"01017001","3008","060060010002","07005","D","F",,"INNERTRANS","system","支付管理-来账业务-正常来账-消费信贷-内转-D","2016-05-31 20:44:52","2016-05-31 20:44:52"
"01017002","3008","060060010002","07005","C","F",,"INNERTRANS","system","支付管理-来账业务-正常来账-消费信贷-内转-C","2016-05-31 20:44:52","2016-05-31 20:44:52"
"01017003","3008","060040090001","07002","D","F",,"INNERTRANS","system","支付管理-信贷业务-小贷机构-放贷-转入-D","2016-05-31 20:44:52","2016-05-31 20:44:52"
"01017004","3008","060040090001","07002","C","F",,"INNERTRANS","system","支付管理-信贷业务-小贷机构-放贷-转入-C","2016-05-31 20:44:52","2016-05-31 20:44:52"
"01017005","3008","060060010002","07002","C","F",,"INNERTRANS","system","支付管理-来账业务-正常来账-消费信贷-充值-C","2016-05-31 20:44:52","2016-05-31 20:44:52"
"01017006","3008","060060010002","01002","D","F",,"INNERTRANS","system","支付管理-来账业务-正常来账-消费信贷-结转-D","2016-05-31 20:44:52","2016-05-31 20:44:52"
"01017007","3008","060060010002","01002","C","F",,"INNERTRANS","system","支付管理-来账业务-正常来账-消费信贷-结转-C","2016-05-31 20:44:52","2016-05-31 20:44:52"
"01017008","3008","060040100001","07002","D","F",,"INNERTRANS","system","支付管理-信贷业务-商融保理-放贷-转入-D","2016-05-31 20:44:52","2016-05-31 20:44:52"
"01017009","3008","060040100001","07002","C","F",,"INNERTRANS","system","支付管理-信贷业务-商融保理-放贷-转入-C","2016-05-31 20:44:52","2016-05-31 20:44:52"
"01017010","3008","060060010002","05001","D","F",,"INNERTRANS","system","支付管理-来账业务-正常来账-消费信贷-存入-D","2016-05-31 20:44:52","2016-05-31 20:44:52"
"01017011","3008","060060010002","05001","C","F",,"INNERTRANS","system","支付管理-来账业务-正常来账-消费信贷-存入-C","2016-05-31 20:44:52","2016-05-31 20:44:52"
"01017012","3008","060040110001","07002","D","F",,"INNERTRANS","system","支付管理-信贷业务-小微小贷-放贷-转入-D","2016-05-31 20:44:52","2016-05-31 20:44:52"
"01017013","3008","060040110001","07002","C","F",,"INNERTRANS","system","支付管理-信贷业务-小微小贷-放贷-转入-C","2016-05-31 20:44:53","2016-05-31 20:44:53"
"02000001","ALISMPLCQ","060040050000","01001","C","T","recon_inst_prop","INNERTRANS","system","花呗-支付-增加表外账","2016-05-27 10:05:15","2016-05-27 10:05:15"
"02000002","ALISMPLCQ","060040060000","01001","D","T","recon_inst_prop","INNERTRANS","system","花呗-售中-减少表外账","2016-05-27 10:05:15","2016-05-27 10:05:15"
"02000003","ALISMPLCQ","060040070000","01001","D","T","recon_inst_prop","INNERTRANS","system","花呗-确认收货-减少表外账","2016-05-27 10:05:15","2016-05-27 10:05:15"
"02000004","ALISMPLCQ","070010420000","01001","D","T","recon_inst_prop","INNERTRANS","system","天猫国际-支付-其他应收款","2016-05-27 10:05:15","2016-05-27 10:05:15"
"02000005","ALISMPLCQ","070030420000","01001","C","T","recon_inst_prop","INNERTRANS","system","天猫国际-售中-其他应收款","2016-05-27 10:05:15","2016-05-27 10:05:15"
"02000006","ALISMPLCQ","070020420000","01001","C","T","recon_inst_prop","INNERTRANS","system","天猫国际-放款-其他应收款","2016-05-27 10:05:15","2016-05-27 10:05:15"
"02000007","ALISMPLCQ","070010420000","01001","C","T","recon_inst_prop","INNERTRANS","system","天猫国际-支付-头寸","2016-05-27 10:05:15","2016-05-27 10:05:15"
"02000008","ALISMPLCQ","070030420000","01001","D","T","recon_inst_prop","INNERTRANS","system","天猫国际-售中-头寸","2016-05-27 10:05:15","2016-05-27 10:05:15"
"02000009","ALISMPLCQ","070020420000","01001","D","T","recon_inst_prop","INNERTRANS","system","天猫国际-放款-头寸","2016-05-27 10:05:15","2016-05-27 10:05:15"
"02000010","ALISRBFSH","060040020000","01001","C","T","recon_inst_prop","INNERTRANS","system","分期-支付-增加表外账","2016-05-27 10:05:15","2016-05-27 10:05:15"
"02000011","ALISRBFSH","060040030000","01001","D","T","recon_inst_prop","INNERTRANS","system","分期-售中-减少表外账","2016-05-27 10:05:15","2016-05-27 10:05:15"
"02000012","ALISRBFSH","060040040000","01001","D","T","recon_inst_prop","INNERTRANS","system","分期-确认收货-减少表外账","2016-05-27 10:05:15","2016-05-27 10:05:15"
"02000013","ALILOANCQ","060040040000","01001","D","T","recon_inst_prop","INNERTRANS","system","分期-确认收货-减少表外账","2016-05-27 10:05:15","2016-05-27 10:05:15"
"02000014","ALILOANCQ","060040030000","01001","D","T","recon_inst_prop","INNERTRANS","system","分期-售中-减少表外账","2016-05-30 13:46:37","2016-05-30 13:46:37"
"02000021","ALISMPLCQ","140110010000","01001","C","T","RECON_INST_PROP","INNERTRANS","system","放款 - 头寸 - 减少","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000022","ALISMPLCQ","140110020000","01001","D","T","RECON_INST_PROP","INNERTRANS","system","退款 - 头寸 - 增加","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000023","ALISMPLCQ","140110030000","01001","D","T","RECON_INST_PROP","INNERTRANS","system","还款 - 头寸 - 增加","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000024","ALISMPLCQ","140110040000","01001","C","T","RECON_INST_PROP","INNERTRANS","system","资产转入 - 头寸 - 减少","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000025","ALISMPLCQ","140110050000","01001","D","T","RECON_INST_PROP","INNERTRANS","system","资产转出 - 头寸 - 增加","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000026","ALILOANCQ","140110010000","01001","C","T","RECON_INST_PROP","INNERTRANS","system","放款 - 头寸 - 减少","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000027","ALILOANCQ","140110020000","01001","D","T","RECON_INST_PROP","INNERTRANS","system","退款 - 头寸 - 增加","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000028","ALILOANCQ","140110030000","01001","D","T","RECON_INST_PROP","INNERTRANS","system","还款 - 头寸 - 增加","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000029","ALILOANCQ","140110040000","01001","C","T","RECON_INST_PROP","INNERTRANS","system","资产转入 - 头寸 - 减少","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000030","ALILOANCQ","140110050000","01001","D","T","RECON_INST_PROP","INNERTRANS","system","资产转出 - 头寸 - 增加","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000031","SPV","140110020000","01001","D","T","RECON_INST_PROP","INNERTRANS","system","退款 - 头寸 - 增加","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000032","SPV","140110030000","01001","D","T","RECON_INST_PROP","INNERTRANS","system","还款 - 头寸 - 增加","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000033","SPV","140110040000","01001","C","T","RECON_INST_PROP","INNERTRANS","system","资产转入 - 头寸 - 减少","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000034","SPV","140110050000","01001","D","T","RECON_INST_PROP","INNERTRANS","system","资产转出 - 头寸 - 增加","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000035","ALILOANCQ","140110060000","01001","D","T","RECON_INST_PROP","INNERTRANS","system","头寸调拨 - 头寸 -增加","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000036","ALILOANCQ","140110070000","01001","C","T","RECON_INST_PROP","INNERTRANS","system","头寸调拨 - 头寸 -减少","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000037","ALILOANCQ","140110080000","01001","D","T","RECON_INST_PROP","INNERTRANS","system","存放网商 - 增加","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000038","ALILOANCQ","140110090000","01001","C","T","RECON_INST_PROP","INNERTRANS","system","存放网商 - 减少","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000039","ALISMPLCQ","140110060000","01001","D","T","RECON_INST_PROP","INNERTRANS","system","头寸调拨 - 头寸 -增加","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000040","ALISMPLCQ","140110070000","01001","C","T","RECON_INST_PROP","INNERTRANS","system","头寸调拨 - 头寸 -减少","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000041","ALISMPLCQ","140110080000","01001","D","T","RECON_INST_PROP","INNERTRANS","system","存放网商 - 增加","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000042","ALISMPLCQ","140110090000","01001","C","T","RECON_INST_PROP","INNERTRANS","system","存放网商 - 减少","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000043","ALISRBFSH","140110060000","01001","D","T","RECON_INST_PROP","INNERTRANS","system","头寸调拨 - 头寸 -增加","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000044","ALISRBFSH","140110070000","01001","C","T","RECON_INST_PROP","INNERTRANS","system","头寸调拨 - 头寸 -减少","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000045","ALISRBFSH","140110080000","01001","D","T","RECON_INST_PROP","INNERTRANS","system","存放网商 - 增加","2016-05-27 10:05:16","2016-05-27 10:05:16"
"02000046","ALISRBFSH","140110090000","01001","C","T","RECON_INST_PROP","INNERTRANS","system","存放网商 - 减少","2016-05-27 10:05:16","2016-05-27 10:05:16"
